[2025-08-20 14:18:02] ⚠️ No files selected.
[2025-08-20 14:18:17] 📎 Added file from Deal 40153: TA_Pokerstars.xlsx
[2025-08-20 14:18:25] 📄 Processing TA_Pokerstars.xlsx...
[2025-08-20 14:18:25] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 14:18:25] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 14:18:25] ✅ Detected normal tabular structure. No CSV conversion needed.
[2025-08-20 14:18:25] 📋 Raw headers: ["Credit Status Report for 'muis21'  (Filtered)", 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']
[2025-08-20 14:18:25] 🔍 Normalized headers: ["creditstatusreportfor'muis21'(filtered)", 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']
[2025-08-20 14:18:25] ⚠️ Header check failed: Missing date or amount — fallback mode. Using fallback mode (Column 0 = date, Column 1 = signed amount).
[2025-08-20 14:18:25] ⚠️ Row 2: Unparsable date → 'None'
[2025-08-20 14:18:25] ⚠️ Row 3: Unparsable date → 'From:'
[2025-08-20 14:18:25] ⚠️ Row 4: Unparsable date → 'To:'
[2025-08-20 14:18:25] ⚠️ Row 5: Unparsable date → 'USD'
[2025-08-20 14:18:25] ⚠️ Row 6: Unparsable date → 'Date/Time'
[2025-08-20 14:18:25] ⚠️ Row 7: Unparsable date → 'DIRBANK #N***********348275'
[2025-08-20 14:18:25] ⚠️ Row 8: Unparsable date → '5/26/2019 21:43'
[2025-08-20 14:18:25] ⚠️ Row 9: Unparsable date → 'None'
[2025-08-20 14:18:25] ⚠️ Row 10: Unparsable date → 'DIRBANK #N***********830c27'
[2025-08-20 14:18:25] ⚠️ Row 11: Unparsable date → '6/1/2010 6:34'
[2025-08-20 14:18:25] ⚠️ Row 12: Unparsable date → '6/22/2010 7:31'
[2025-08-20 14:18:25] ⚠️ Row 13: Unparsable date → '6/28/2010 6:19'
[2025-08-20 14:18:25] ⚠️ Row 14: Unparsable date → '7/1/2010 6:14'
[2025-08-20 14:18:25] ⚠️ Row 15: Unparsable date → '9/8/2010 6:25'
[2025-08-20 14:18:25] ⚠️ Row 16: Unparsable date → '12/2/2010 6:50'
[2025-08-20 14:18:25] ⚠️ Row 17: Unparsable date → '12/6/2010 6:10'
[2025-08-20 14:18:25] ⚠️ Row 18: Unparsable date → '12/9/2010 6:10'
[2025-08-20 14:18:25] ⚠️ Row 19: Unparsable date → '12/23/2010 6:29'
[2025-08-20 14:18:25] ⚠️ Row 20: Unparsable date → '7/28/2011 14:54'
[2025-08-20 14:18:25] ⚠️ Row 21: Unparsable date → '6/11/2012 5:12'
[2025-08-20 14:18:25] ⚠️ Row 22: Unparsable date → '6/18/2012 5:52'
[2025-08-20 14:18:25] ⚠️ Row 23: Unparsable date → '4/5/2016 11:53'
[2025-08-20 14:18:25] ⚠️ Row 24: Unparsable date → 'None'
[2025-08-20 14:18:25] ⚠️ Row 25: Unparsable date → 'DIRBANK #N***********830c27'
[2025-08-20 14:18:25] ⚠️ Row 26: Unparsable date → '5/16/2016 8:59'
[2025-08-20 14:18:25] ⚠️ Row 27: Unparsable date → '8/19/2016 8:43'
[2025-08-20 14:18:25] ⚠️ Row 28: Unparsable date → '8/25/2016 8:24'
[2025-08-20 14:18:25] ⚠️ Row 29: Unparsable date → '8/29/2016 8:55'
[2025-08-20 14:18:25] ⚠️ Row 30: Unparsable date → '8/31/2016 8:45'
[2025-08-20 14:18:25] ⚠️ Row 31: Unparsable date → '9/2/2016 7:25'
[2025-08-20 14:18:25] ⚠️ Row 32: Unparsable date → '9/8/2016 7:46'
[2025-08-20 14:18:25] ⚠️ Row 33: Unparsable date → '3/12/2017 21:05'
[2025-08-20 14:18:25] ⚠️ Row 34: Unparsable date → 'None'
[2025-08-20 14:18:25] ⚠️ Row 35: Unparsable date → 'IDEAL #'
[2025-08-20 14:18:25] ⚠️ Row 36: Unparsable date → '3/18/2011 13:40'
[2025-08-20 14:18:25] ⚠️ Row 37: Unparsable date → '3/18/2011 16:56'
[2025-08-20 14:18:25] ⚠️ Row 38: Unparsable date → '3/20/2011 17:46'
[2025-08-20 14:18:25] ⚠️ Row 39: Unparsable date → '3/20/2011 17:57'
[2025-08-20 14:18:25] ⚠️ Row 40: Unparsable date → '3/20/2011 19:17'
[2025-08-20 14:18:25] ⚠️ Row 41: Unparsable date → '3/26/2011 12:25'
[2025-08-20 14:18:25] ⚠️ Row 42: Unparsable date → '3/27/2011 14:39'
[2025-08-20 14:18:25] ⚠️ Row 43: Unparsable date → '3/27/2011 15:16'
[2025-08-20 14:18:25] ⚠️ Row 44: Unparsable date → '3/27/2011 16:31'
[2025-08-20 14:18:25] ⚠️ Row 45: Unparsable date → '3/27/2011 16:53'
[2025-08-20 14:18:25] ⚠️ Row 46: Unparsable date → '3/27/2011 17:50'
[2025-08-20 14:18:25] ⚠️ Row 47: Unparsable date → '3/27/2011 17:57'
[2025-08-20 14:18:25] ⚠️ Row 48: Unparsable date → '3/27/2011 18:05'
[2025-08-20 14:18:26] ⚠️ Row 49: Unparsable date → '3/28/2011 8:48'
[2025-08-20 14:18:26] ⚠️ Row 50: Unparsable date → '3/28/2011 15:38'
[2025-08-20 14:18:26] ⚠️ Row 51: Unparsable date → '3/29/2011 13:37'
[2025-08-20 14:18:26] ⚠️ Row 52: Unparsable date → '4/3/2011 17:15'
[2025-08-20 14:18:26] ⚠️ Row 53: Unparsable date → '4/4/2011 10:36'
[2025-08-20 14:18:26] ⚠️ Row 54: Unparsable date → '4/4/2011 10:51'
[2025-08-20 14:18:26] ⚠️ Row 55: Unparsable date → '4/4/2011 16:45'
[2025-08-20 14:18:26] ⚠️ Row 56: Unparsable date → '4/7/2011 12:31'
[2025-08-20 14:18:26] ⚠️ Row 57: Unparsable date → '4/8/2011 13:04'
[2025-08-20 14:18:26] ⚠️ Row 58: Unparsable date → '4/8/2011 13:39'
[2025-08-20 14:18:26] ⚠️ Row 59: Unparsable date → '4/10/2011 11:44'
[2025-08-20 14:18:26] ⚠️ Row 60: Unparsable date → '4/10/2011 12:13'
[2025-08-20 14:18:26] ⚠️ Row 61: Unparsable date → '4/10/2011 14:11'
[2025-08-20 14:18:26] ⚠️ Row 62: Unparsable date → '4/10/2011 15:28'
[2025-08-20 14:18:26] ⚠️ Row 63: Unparsable date → '4/10/2011 17:17'
[2025-08-20 14:18:26] ⚠️ Row 64: Unparsable date → '4/10/2011 17:52'
[2025-08-20 14:18:26] ⚠️ Row 65: Unparsable date → '4/10/2011 18:03'
[2025-08-20 14:18:26] ⚠️ Row 66: Unparsable date → '4/10/2011 18:55'
[2025-08-20 14:18:26] ⚠️ Row 67: Unparsable date → '4/17/2011 15:52'
[2025-08-20 14:18:26] ⚠️ Row 68: Unparsable date → '4/17/2011 16:43'
[2025-08-20 14:18:26] ⚠️ Row 69: Unparsable date → '4/17/2011 16:55'
[2025-08-20 14:18:26] ⚠️ Row 70: Unparsable date → '4/17/2011 17:51'
[2025-08-20 14:18:26] ⚠️ Row 71: Unparsable date → '4/17/2011 19:05'
[2025-08-20 14:18:26] ⚠️ Row 72: Unparsable date → '4/21/2011 17:08'
[2025-08-20 14:18:26] ⚠️ Row 73: Unparsable date → '4/22/2011 14:51'
