[2025-08-20 14:52:50] 📄 PDF selected: TA_Pokerstars.pdf — converting (unified headers)...
[2025-08-20 14:52:50] 🧩 Converting PDF → Excel (unified headers): TA_Pokerstars.pdf
[2025-08-20 14:52:59] • Table 1: added 4 header labels (preview: ['807032263', 'Deposit', '21/Nov/2012 08:00:09', '21/Nov/2012 08:01:43'])
[2025-08-20 14:52:59] • Table 2: added 4 header labels (preview: ['1222358220', 'Redeem', '26/Feb/2015 19:34:01', '27/Feb/2015 06:28:51'])
[2025-08-20 14:52:59] • Table 3: added 4 header labels (preview: ['1249696292', 'Deposit', '22/Apr/2015 05:47:53', '22/Apr/2015 05:48:42'])
[2025-08-20 14:52:59] • Table 4: added 4 header labels (preview: ['1315173000', 'Deposit', '16/Sep/2015 18:31:16', '16/Sep/2015 18:33:39'])
[2025-08-20 14:52:59] • Table 5: added 4 header labels (preview: ['1467539548', 'Deposit', '16/Jun/2016 17:55:10', '16/Jun/2016 17:56:23'])
[2025-08-20 14:52:59] • Table 6: added 4 header labels (preview: ['1514522007', 'Deposit', '21/Sep/2016 16:43:17', '21/Sep/2016 16:44:01'])
[2025-08-20 14:52:59] • Table 7: added 4 header labels (preview: ['1582458309', 'Deposit', '12/Jan/2017 18:58:55', '12/Jan/2017 19:00:14'])
[2025-08-20 14:52:59] • Table 8: added 4 header labels (preview: ['1624377115', 'Deposit', '20/Mar/2017 13:57:41', '20/Mar/2017 13:58:31'])
[2025-08-20 14:52:59] • Table 9: added 4 header labels (preview: ['1865892465', 'Deposit', '09/May/2018 01:24:39', '09/May/2018 01:25:12'])
[2025-08-20 14:52:59] • Table 10: added 4 header labels (preview: ['1893112952', 'Deposit', '26/Jun/2018 15:58:50', '26/Jun/2018 15:59:55'])
[2025-08-20 14:52:59] • Table 11: added 4 header labels (preview: ['2183197433', 'Redeem', '24/Aug/2019 04:14:50', '24/Aug/2019 18:15:25'])
[2025-08-20 14:52:59] • Table 12: added 5 header labels (preview: ['EUR', '10.0', 'Approved', 'IDEAL', 'Netherlands'])
[2025-08-20 14:52:59] • Table 13: added 5 header labels (preview: ['EUR', '50.0', 'Approved', 'DIRBANK', 'Netherlands'])
[2025-08-20 14:52:59] • Table 14: added 5 header labels (preview: ['EUR', '10.0', 'Approved', 'RTBT', 'Netherlands'])
[2025-08-20 14:52:59] • Table 15: added 5 header labels (preview: ['EUR', '10.0', 'Approved', 'RTBT', 'Netherlands'])
[2025-08-20 14:52:59] • Table 16: added 5 header labels (preview: ['EUR', '25.0', 'Approved', 'RTBT', 'Netherlands'])
[2025-08-20 14:52:59] • Table 17: added 5 header labels (preview: ['EUR', '10.0', 'Approved', 'IDEAL', 'Netherlands'])
[2025-08-20 14:52:59] • Table 18: added 5 header labels (preview: ['EUR', '10.0', 'Approved', 'IDEAL', 'Netherlands'])
[2025-08-20 14:52:59] • Table 19: added 5 header labels (preview: ['EUR', '20.0', 'Approved', 'IDEAL', 'Netherlands'])
[2025-08-20 14:52:59] • Table 20: added 5 header labels (preview: ['EUR', '25.0', 'Approved', 'IDEAL', 'Netherlands'])
[2025-08-20 14:52:59] • Table 21: added 5 header labels (preview: ['EUR', '100.0', 'Approved', 'IDEAL', 'Netherlands'])
[2025-08-20 14:52:59] • Table 22: added 5 header labels (preview: ['EUR', '38.13', 'Cancelled', 'DIRBANK', 'Netherlands'])
