[2025-08-20 15:45:04] ✅ Loaded 40 deals from CSV.
[2025-08-20 15:45:06] ✅ Selected deal: 12114
[2025-08-20 15:45:10] 📎 Added file from Deal 12114: TA_TA_Pokerstars.xlsx
[2025-08-20 15:45:13] 📄 Processing TA_TA_Pokerstars.xlsx in Checking Mode...
[2025-08-20 15:45:13] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 15:45:13] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 15:45:13] 📋 Raw headers: ['Transaction ID', 'TXN Type', 'Created', 'Started', 'TXN Curency', 'TXN Amount', 'Status', 'Pay Type', 'Country']
[2025-08-20 15:45:13] 🔍 Normalized headers: ['transactionid', 'txntype', 'created', 'started', 'txncurency', 'txnamount', 'status', 'paytype', 'country']
[2025-08-20 15:45:13] ⚠️ Row 2: Unparsable date/time → '21/Nov/2012 08:00:09'
[2025-08-20 15:45:13] ⚠️ Row 3: Unparsable date/time → '21/Nov/2012 08:36:01'
[2025-08-20 15:45:13] ⚠️ Row 4: Unparsable date/time → '30/Nov/2012 14:24:14'
[2025-08-20 15:45:13] ⚠️ Row 5: Unparsable date/time → '25/Feb/2014 15:39:14'
[2025-08-20 15:45:13] ⚠️ Row 6: Unparsable date/time → '04/Jul/2014 16:18:42'
[2025-08-20 15:45:13] ⚠️ Row 7: Unparsable date/time → '20/Dec/2014 15:55:31'
[2025-08-20 15:45:13] ⚠️ Row 8: Unparsable date/time → '26/Dec/2014 13:39:54'
[2025-08-20 15:45:13] ⚠️ Row 9: Unparsable date/time → '10/Jan/2015 16:08:55'
[2025-08-20 15:45:13] ⚠️ Row 10: Unparsable date/time → '15/Jan/2015 05:59:35'
[2025-08-20 15:45:13] ⚠️ Row 11: Unparsable date/time → '15/Jan/2015 06:12:02'
[2025-08-20 15:45:13] ⚠️ Row 12: Unparsable date/time → '16/Jan/2015 19:03:17'
[2025-08-20 15:45:13] ⚠️ Row 13: Unparsable date/time → '16/Jan/2015 21:35:30'
[2025-08-20 15:45:13] ⚠️ Row 14: Unparsable date/time → '19/Jan/2015 05:08:48'
[2025-08-20 15:45:13] ⚠️ Row 15: Unparsable date/time → '19/Jan/2015 06:11:15'
[2025-08-20 15:45:13] ⚠️ Row 16: Unparsable date/time → '19/Jan/2015 18:27:32'
[2025-08-20 15:45:13] ⚠️ Row 17: Unparsable date/time → '20/Jan/2015 06:04:31'
[2025-08-20 15:45:13] ⚠️ Row 18: Unparsable date/time → '20/Jan/2015 17:55:58'
[2025-08-20 15:45:13] ⚠️ Row 19: Unparsable date/time → '21/Jan/2015 02:59:08'
[2025-08-20 15:45:13] ⚠️ Row 20: Unparsable date/time → '21/Jan/2015 03:26:32'
[2025-08-20 15:45:13] ⚠️ Row 21: Unparsable date/time → '21/Jan/2015 18:08:13'
[2025-08-20 15:45:13] ⚠️ Row 22: Unparsable date/time → '21/Jan/2015 18:18:43'
[2025-08-20 15:45:13] ⚠️ Row 23: Unparsable date/time → '22/Jan/2015 18:45:56'
[2025-08-20 15:45:13] ⚠️ Row 24: Unparsable date/time → '23/Jan/2015 06:03:12'
[2025-08-20 15:45:13] ⚠️ Row 25: Unparsable date/time → '23/Jan/2015 18:04:53'
[2025-08-20 15:45:13] ⚠️ Row 26: Unparsable date/time → '25/Jan/2015 06:42:08'
[2025-08-20 15:45:13] ⚠️ Row 27: Unparsable date/time → '28/Jan/2015 18:00:18'
[2025-08-20 15:45:13] ⚠️ Row 28: Unparsable date/time → '05/Feb/2015 12:03:29'
[2025-08-20 15:45:13] ⚠️ Row 29: Unparsable date/time → '12/Feb/2015 03:01:46'
[2025-08-20 15:45:13] ⚠️ Row 30: Unparsable date/time → '12/Feb/2015 04:10:13'
[2025-08-20 15:45:13] ⚠️ Row 31: Unparsable date/time → '12/Feb/2015 18:24:17'
[2025-08-20 15:45:13] ⚠️ Row 32: Unparsable date/time → '12/Feb/2015 18:28:23'
[2025-08-20 15:45:13] ⚠️ Row 33: Unparsable date/time → '13/Feb/2015 18:31:58'
[2025-08-20 15:45:13] ⚠️ Row 34: Unparsable date/time → '23/Feb/2015 18:01:35'
[2025-08-20 15:45:13] ⚠️ Row 35: Unparsable date/time → '23/Feb/2015 18:02:45'
[2025-08-20 15:45:13] ⚠️ Row 36: Unparsable date/time → '23/Feb/2015 19:03:25'
[2025-08-20 15:45:13] ⚠️ Row 37: Unparsable date/time → '24/Feb/2015 18:01:59'
[2025-08-20 15:45:13] ⚠️ Row 38: Unparsable date/time → '25/Feb/2015 19:08:25'
[2025-08-20 15:45:13] ⚠️ Row 39: Unparsable date/time → '26/Feb/2015 18:04:30'
[2025-08-20 15:45:13] ⚠️ Row 40: Unparsable date/time → '26/Feb/2015 18:31:34'
[2025-08-20 15:45:13] ⚠️ Row 41: Unparsable date/time → '26/Feb/2015 19:34:01'
[2025-08-20 15:45:13] ⚠️ Row 42: Unparsable date/time → '27/Feb/2015 18:00:27'
[2025-08-20 15:45:13] ⚠️ Row 43: Unparsable date/time → '01/Mar/2015 05:31:00'
[2025-08-20 15:45:13] ⚠️ Row 44: Unparsable date/time → '01/Mar/2015 06:08:39'
[2025-08-20 15:45:13] ⚠️ Row 45: Unparsable date/time → '04/Mar/2015 18:00:04'
[2025-08-20 15:45:13] ⚠️ Row 46: Unparsable date/time → '05/Mar/2015 05:45:45'
[2025-08-20 15:45:13] ⚠️ Row 47: Unparsable date/time → '05/Mar/2015 06:19:13'
[2025-08-20 15:45:13] ⚠️ Row 48: Unparsable date/time → '07/Mar/2015 05:31:56'
[2025-08-20 15:45:13] ⚠️ Row 49: Unparsable date/time → '07/Mar/2015 05:38:52'
[2025-08-20 15:45:13] ⚠️ Row 50: Unparsable date/time → '07/Mar/2015 18:36:18'
[2025-08-20 15:45:13] ⚠️ Row 51: Unparsable date/time → '07/Mar/2015 18:37:20'
[2025-08-20 15:45:13] ⚠️ Row 52: Unparsable date/time → '07/Mar/2015 18:38:23'
[2025-08-20 15:45:13] ⚠️ Row 53: Unparsable date/time → '07/Mar/2015 18:41:29'
[2025-08-20 15:45:13] ⚠️ Row 54: Unparsable date/time → '07/Mar/2015 18:42:09'
[2025-08-20 15:45:13] ⚠️ Row 55: Unparsable date/time → '07/Mar/2015 18:44:06'
[2025-08-20 15:45:13] ⚠️ Row 56: Unparsable date/time → '11/Mar/2015 18:54:58'
[2025-08-20 15:45:13] ⚠️ Row 57: Unparsable date/time → '12/Mar/2015 18:53:51'
[2025-08-20 15:45:13] ⚠️ Row 58: Unparsable date/time → '13/Mar/2015 04:42:48'
[2025-08-20 15:45:13] ⚠️ Row 59: Unparsable date/time → '13/Mar/2015 19:30:08'
[2025-08-20 15:45:13] ⚠️ Row 60: Unparsable date/time → '13/Mar/2015 20:12:13'
[2025-08-20 15:45:13] ⚠️ Row 61: Unparsable date/time → '14/Mar/2015 14:48:34'
[2025-08-20 15:45:13] ⚠️ Row 62: Unparsable date/time → '16/Mar/2015 18:48:20'
[2025-08-20 15:45:13] ⚠️ Row 63: Unparsable date/time → '17/Mar/2015 18:50:51'
[2025-08-20 15:45:13] ⚠️ Row 64: Unparsable date/time → '20/Mar/2015 18:53:52'
[2025-08-20 15:45:13] ⚠️ Row 65: Unparsable date/time → '20/Mar/2015 19:11:34'
[2025-08-20 15:45:13] ⚠️ Row 66: Unparsable date/time → '23/Mar/2015 18:54:44'
[2025-08-20 15:45:13] ⚠️ Row 67: Unparsable date/time → '26/Mar/2015 03:21:05'
[2025-08-20 15:45:13] ⚠️ Row 68: Unparsable date/time → '29/Mar/2015 09:19:41'
[2025-08-20 15:45:13] ⚠️ Row 69: Unparsable date/time → '30/Mar/2015 09:32:33'
[2025-08-20 15:45:13] ⚠️ Row 70: Unparsable date/time → '31/Mar/2015 14:19:50'
[2025-08-20 15:45:13] ⚠️ Row 71: Unparsable date/time → '01/Apr/2015 06:49:58'
[2025-08-20 15:45:13] ⚠️ Row 72: Unparsable date/time → '01/Apr/2015 09:26:49'
[2025-08-20 15:45:13] ⚠️ Row 73: Unparsable date/time → '01/Apr/2015 09:39:03'
[2025-08-20 15:45:13] ⚠️ Row 74: Unparsable date/time → '01/Apr/2015 10:02:51'
