[2025-08-21 12:59:59] ✅ Row 259: Deposit accepted — 15.09 at 2016-09-27 13:12:27 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 260: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.0 dt='2016-09-30 09:56:09'
[2025-08-21 13:00:00] ✅ Row 260: Deposit accepted — 10.0 at 2016-09-30 09:56:09 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 261: type='deposit' dep=True wdr=False status_orig='Rejected' canon='rejected' amount=10.91 dt='2016-10-04 14:56:37'
[2025-08-21 13:00:00] ⚠️ Row 261: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:00] ℹ️ Row 262: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.02 dt='2016-10-05 08:46:33'
[2025-08-21 13:00:00] ✅ Row 262: Deposit accepted — 12.02 at 2016-10-05 08:46:33 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 263: type='deposit' dep=True wdr=False status_orig='Rejected' canon='rejected' amount=10.9 dt='2016-10-06 10:23:52'
[2025-08-21 13:00:00] ⚠️ Row 263: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:00] ℹ️ Row 264: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=38.06 dt='2016-10-07 12:42:04'
[2025-08-21 13:00:00] ✅ Row 264: Deposit accepted — 38.06 at 2016-10-07 12:42:04 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 265: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.92 dt='2016-10-08 06:05:03'
[2025-08-21 13:00:00] ✅ Row 265: Deposit accepted — 10.92 at 2016-10-08 06:05:03 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 266: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.92 dt='2016-10-08 06:18:35'
[2025-08-21 13:00:00] ✅ Row 266: Deposit accepted — 10.92 at 2016-10-08 06:18:35 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 267: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=18.02 dt='2016-10-08 13:33:38'
[2025-08-21 13:00:00] ✅ Row 267: Deposit accepted — 18.02 at 2016-10-08 13:33:38 (status='Approved')
