[2025-09-02 15:20:44] ➕ Added 1 file(s).
[2025-09-02 15:20:47] 📄 Processing TA_Pokerstars (18).xlsx in calculation Mode...
[2025-09-02 15:20:50] ✔ Deposit sheets: ['Sheet2']
[2025-09-02 15:20:50] ✔ Cashout sheets: ['Sheet2']
[2025-09-02 15:20:50] ℹ️ Same sheet in both lists → will parse once as combined: ['Sheet2']
[2025-09-02 15:20:50] ✅ Detected header row at Excel row 1: ['Date', 'Type', 'TransId', 'Account Currency', 'Billing Currency', 'Billing Amount', 'GateWay', 'Descriptor', 'Original Trans']
[2025-09-02 15:20:50] 🧭 Columns: amount=5, currency=3, type=1, ref_date=0, conf_date=None, status=None
[2025-09-02 15:20:50] 🔎 Sample Type values (top 10 / first 200 rows): dep×181, red×19
[2025-09-02 15:20:50] r=2 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2013-01-09 — KEEP
[2025-09-02 15:20:50] r=3 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=24.0; currency=USD; date=2013-03-13 — KEEP
[2025-09-02 15:20:50] r=4 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2013-06-23 — KEEP
[2025-09-02 15:20:50] r=5 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2013-06-29 — KEEP
[2025-09-02 15:20:50] r=6 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=15.0; currency=USD; date=2013-11-22 — KEEP
[2025-09-02 15:20:51] r=7 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2013-11-25 — KEEP
[2025-09-02 15:20:51] r=8 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-01-13 — KEEP
[2025-09-02 15:20:51] r=9 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=40.0; currency=USD; date=2014-02-05 — KEEP
[2025-09-02 15:20:51] r=10 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-02-05 — KEEP
[2025-09-02 15:20:51] r=11 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=23.0; currency=USD; date=2014-02-28 — KEEP
[2025-09-02 15:20:51] r=12 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=15.0; currency=USD; date=2014-03-15 — KEEP
[2025-09-02 15:20:51] r=13 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=50.0; currency=USD; date=2014-04-13 — KEEP
