[2025-09-23 13:28:07] 🔗 Fetching ActiveCampaign deals in saved stage…
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (7.7.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (17.03.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (7.7.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (27.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (27.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (7.7.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (19.08.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (25.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (17.03.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (10.03.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (10.03.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (25.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:45] 🧹 Hidden checked note line: [] Checked (24.02.2025)
[2025-09-23 13:28:46] 🧹 Hidden checked note line: [] Checked (27.02.2025)
[2025-09-23 13:28:46] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:46] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:46] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:46] 🧹 Hidden checked note line: [] Checked (24.02.2025)
